Container Scheme,Extended Price,GST,Line Disc,List Price,Price per Item,Product Code,Product Description,Quantity
nan,40.32,nan,,40.32,3.36000,00071780,PERFECTION FULL CREAM MILK 3L,"['12', 'EA']"
nan,20.16,nan,,20.16,2.24000,00071779,PERFECTION FULL CREAM MILK 2L,"['9', 'EA']"
nan,45.60,nan,,45.60,3.80000,00012001,PAULS FULL CREAM MILK BTL 3L,"['12', 'EA']"
nan,23.40,nan,,23.40,2.60000,00001003,PAULS FULL CREAM MILK BTL 2L,"['9', 'EA']"
nan,8.72,nan,,8.72,2.18000,00015624,PAULS FULL CREAM MILK BTL 1L,"['4', 'EA']"
nan,14.70,nan,,14.70,2.45000,00071792,PERFECTION LIGHT  MILK 2L,"['6', 'EA']"
nan,8.34,nan,,8.34,2.78000,00048186,PAULS FARMHOUSE GOLD MILK 1.5L,"['3', 'EA']"
nan,4.95,nan,1.09-,6.04,1.23750,00005987,PAULS FULL CREAM CTN 600ML,"['4', 'EA']"
nan,4.62,nan,,4.62,2.31000,00007309,PAULS PURE CREAM 300ML,"['2', 'EA']"
0.32,7.94,0.72,0.60-,7.50,2.64667,00073893,OAK FLAV MILK CHOCOLATE 600ML,"['3', 'EA']"
0.32,7.94,0.72,0.60-,7.50,2.64667,00073896,OAK FLAV MILK VANILLA MALT 600ML,"['3', 'EA']"
0.32,7.94,0.72,0.60-,7.50,2.64667,00034892,OAK FLAV MILK BANANA 600ML,"['3', 'EA']"
0.42,6.18,0.56,,5.20,1.54500,00034868,OAK FLAV MILK CHOCOLATE 300ML BTL,"['4', 'EA']"
0.32,4.64,0.42,,3.90,1.54667,00034964,OAK FLAV MILK STRAWBERRY 300ML BTL,"['3', 'EA']"
0.32,9.30,0.85,,8.13,3.10000,00016110,ICE BREAK FLAV MILK ICE COFFEE 750ML,"['3', 'EA']"
0.32,9.30,0.85,,8.13,3.10000,00041339,ICE BREAK EXTRA SHOT ICE COFFEE 750ML,"['3', 'EA']"
0.32,7.88,0.72,,6.84,2.62667,00041275,ICE BREAK EXTRA SHOT ICE COFFEE 500ML,"['3', 'EA']"
nan,9.68,nan,,9.68,2.42000,00036437,PAULS REGULAR CUSTARD VANILLA 600G,"['4', 'EA']"
nan,13.62,nan,,13.62,2.27000,00062606,PAULS REGULAR SOUR CREAM 250GM,"['6', 'EA']"
,255.23,,,,,,,
