Product Description,Product Code,Quantity,List Price,Line Disc,Container Scheme,GST,Extended Price,Price per Item
PERFECTION FULL CREAM MILK 3L,00071780,"['12', 'EA']",40.32,,nan,nan,40.32,3.36000
PERFECTION FULL CREAM MILK 2L,00071779,"['27', 'EA']",60.48,,nan,nan,60.48,2.24000
PAULS FULL CREAM MILK BTL 3L,00012001,"['18', 'EA']",64.80,,nan,nan,64.80,3.60000
PAULS FULL CREAM MILK BTL 2L,00001003,"['18', 'EA']",44.10,,nan,nan,44.10,2.45000
SKINNY MILK BTL 1L,00033371,"['3', 'EA']",6.63,,nan,nan,6.63,2.21000
PAULS TRIM LOW FAT MILK BTL 1L,00012087,"['3', 'EA']",6.63,,nan,nan,6.63,2.21000
PAULS FULL CREAM MILK BTL 1L,00015624,"['6', 'EA']",12.66,,nan,nan,12.66,2.11000
PAULS FULL CREAM CTN 600ML,00005987,"['5', 'EA']",7.35,1.32-,nan,nan,6.03,1.20600
OAK FLAV MILK CHOCOLATE 600ML,00073893,"['2', 'EA']",4.88,0.39-,0.21,0.47,5.17,2.58500
OAK FLAV MILK STRAWBERRY 600ML,00073894,"['4', 'EA']",9.76,0.78-,0.42,0.94,10.34,2.58500
OAK FLAV MILK BANANA 600ML,00034892,"['2', 'EA']",4.88,0.39-,0.21,0.47,5.17,2.58500
OAK FLAV MILK CHOCOLATE 300ML BTL,00034868,"['2', 'EA']",2.54,,0.21,0.28,3.03,1.51500
OAK FLAV MILK STRAWBERRY 300ML BTL,00034964,"['2', 'EA']",2.54,,0.21,0.28,3.03,1.51500
OAK FLAV MILK ICED COFFEE 300ML BTL,00034390,"['4', 'EA']",5.08,,0.42,0.55,6.05,1.51250
ICE BREAK FLAV MILK ICE COFFEE 750ML,00016110,"['2', 'EA']",5.26,,0.21,0.55,6.02,3.01000
ICE BREAK EXTRA SHOT ICE COFFEE 750ML,00041339,"['4', 'EA']",10.52,,0.42,1.09,12.03,3.00750
