Material Description,Mat No,Prior Wk,Mon 20,Tue 21,Wed 22,Thu 23,Fri 24 Sat 25,Unnamed: 8,Sun 26,Net Qty,Gross,Terms Prom,Net Price,Ext Value,Unnamed: 15,GST,Unnamed: 17,GST inc Price
,,DelRet,DelRet,DelRet,DelRet,DelRet,DelRet DelRet,Del,Ret,,Price,,,,,,,
SUNBLEST BREAD WHOLEMEAL,154,,4   4,,4   3,,4   2   4,,,7.0,3.4800,0.3480 0.0000,3.132,,21.92,,0.0,21.92
SANDWICH 650G,,,,,,,,,,,,,,,,,,
SUNBLEST BREAD WHITE SANDWICH,227,,4   5,,4   3,,4   4   4,,,4.0,3.4800,0.3480 0.0000,3.132,,12.53,,0.0,12.53
650G,,,,,,,,,,,,,,,,,,
TIP TOP 9 GRAIN BREAD MEDIUM SLICE,357,,2   2,,2   1,,2   1   2,,,4.0,4.2300,0.4230 0.0000,3.807,,15.23,,0.0,15.23
700G,,,,,,,,,,,,,,,,,,
TIP TOP THE ONE BREAD SANDWICH,486,,2,,3,,3   3,,,7.0,4.2300,0.4230 0.0000,3.807,,26.65,,0.0,26.65
700G,,,,,,,,,,,,,,,,,,
TIP TOP THE ONE BRD WHOLEMEAL,507,,3   1,,3   1,,3   3,,,10.0,4.2300,0.4230 0.0000,3.807,,38.07,,0.0,38.07
S/WCH 700G,,,,,,,,,,,,,,,,,,
ABBOTTS VLGE BKRY BRD FRMHSE,865,,1   2,,1   1,,1   1,,,1.0,4.7600,0.4760 0.0000,4.284,,4.28,,0.0,4.28
W/MEAL 750G,,,,,,,,,,,,,,,,,,
ABBOTTS VLG BKRY BRD COUNTRY,911,,1   2,,1,,1   1   1,,,1.0,4.7600,0.4760 0.0000,4.284,,4.28,,0.0,4.28
GRAINS 800G,,,,,,,,,,,,,,,,,,
GOLDEN CRUMPET PLAIN ROUND 6,4000,,2   1,,2,,2   4,,,1.0,3.1600,0.3160 0.0000,2.844,,2.84,,0.0,2.84
PACK,,,,,,,,,,,,,,,,,,
TIP TOP MUFFINS ENGLISH 400G 6 PACK,4150,,2   1,,,,2,,,3.0,3.7200,0.3720 0.0000,3.348,,10.04,,0.0,10.04
Sub-total for Bakery Products,,,,,,,,,,38.0,,,,,135.86,,0.0,135.86
Total Units,,,19  20,,20   9,,22  12  18,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Value,,,5.51-,,39.08,,38.21   64.08,,,,,,,,,,,
Docket No.,,,7559921331,,7559950387,,7559979486 7559993257,,,,,,,,,,,
Date (Day/Month),,,20/05/19,,22/05/19,,24/05/19 25/05/19,,,,,,,,,,,
Docket Units,,,19  20,,20   9,,22  12  18,,,,,,,,,,,
Pur Order,,,,,,,,,,,,,,,,,,
,,,,,,,,,,38.0,,Net Value,,,135.86,,,
,,,,,,,,,,,,Total GST,,,,,0.0,
,,,,,,,Terms: 30 days from end of month,,,,,Total Amount Payable by 30.06.2019,,,,,,135.86
,,,TIP TOP Bakeries,,,,,,,,,,,,,,,
1191170,,,ABN: 45008429632,,,,,,,,,,,,,,,
FRIENDLY GROCER WESTMEAD 61082442,Date Issued:,26.05.2019,A division of George Weston Food Limited,,,,,,,,,,,,,,,
24-26 RAILWAY PDE,Week Ending:,26.05.2019,TIP TOP Bakeries,,,,,,,,,,,,,,,
WESTMEAD NSW 2145,Customer Number:,1000425,Po Box 707,,,,,,,,,,,,,,,
