QTY,Item Code,Description,Unit Price(inc-GST),Total(inc-GST)
1,9310704909723,Bond St Blue 20/200,229.67,$229.67
1,9310704909990,Bond St Blue 25/200,225.27,$225.27
1,9310797281232,B&H Smooth 30/180,239.99,$239.99
1,9310704910385,Choice Signature Classic20/200,199.24,$199.24
1,9310797282772,Dunhill Premier Red 23/184,259.25,$259.25
1,9310797282796,Dunhill Refined Grey 23/184,259.25,$259.25
3,793579740841,Euro Red 20/200,186.50,$559.50
3,793579740858,Euro Blue 20/200,186.50,$559.50
1,793579740865,Euro Gold 20/200,186.50,$186.50
1,9327329004955,JPS Red 20/200,237.55,$237.55
1,9327329004962,JPS Blue 20/200,237.55,$237.55
1,9327329004948,JPS Gold 20/200,237.55,$237.55
1,9327329004917,JPS Superkings Gold 20/200,244.86,$244.86
1,5000432001731,JPS Superkings Menthol 20/200,244.86,$244.86
1,9327329003897,JPS Blue 26/208,238.90,$238.90
1,9327329010161,JPS Blue 40/160,182.26,$182.26
1,9310797281010,Rothmans Red 20/200,231.49,$231.49
1,9310797281034,Rothmans Blue 20/200,231.49,$231.49
1,9310797280440,Rothmans Red 25/200,233.21,$233.21
1,9310797280488,Rothmans Gold 25/200,233.21,$233.21
3,6901028153683,TS Red 20/200,186.50,$559.50
2,6901028153294,TS Blue 20/200,186.50,$373.00
1,9310797279352,Winfield Optimum Blue 20/200,258.80,$258.80
2,9310797258524,Winfield Optimum Crush Blue 25,244.07,$488.14
1,9310797283052,Winfield Optimum Crush Blue 30,218.89,$218.89
1,9310797283090,Winfield Optimum Crush Sky 30,218.89,$218.89
1,9310797282895,Winfield Originals Blue 40/200,230.32,$230.32
1,070330602670,Bic Lighters Mini,37.95,$37.95
1,19310537107546,Ventti Filters Orange 16pk/box,19.95,$19.95
5,9310797281683,Port Royal 25g RYO,39.09,$195.45
5,9310797282499,Rothmans Gold 20g RYO,27.64,$138.20
5,8710900071100,White Ox 50g RYO,76.02,$380.10
,,,,"Subtotal inc GST: $8,576.79"
